pokemon_key,form_key,ability_key,ability_name,ability_description,is_hidden,slot
butterfree,default,compound-eyes,ふくがん,"複眼を 持っているため 技の 命中率が 上がる。",0,1
butterfree,default,tinted-lens,いろめがね,"効果が いまひとつの 技を 通常の 威力で 出すことが できる。",1,3
weedle,default,shield-dust,りんぷん,"りんぷんに 守られて 技の 追加効果を 受けなくなる。",0,1
weedle,default,run-away,にげあし,"野生の ポケモンから 必ず 逃げられる。",1,3
kakuna,default,shed-skin,だっぴ,"体の 皮を 脱ぎ捨てることで 状態異常を 治すことが ある。",0,1
beedrill,default,swarm,むしのしらせ,"ＨＰが 減ったとき むしタイプの 技の 威力が 上がる。",0,1
beedrill,default,sniper,スナイパー,"攻撃を 急所に 当てると 威力が さらに 上がる。",1,3
beedrill,mega,adaptability,てきおうりょく,"自分と おなじ タイプの 技の 威力が 上がる。",0,1
pidgey,default,keen-eye,するどいめ,"鋭い 目の おかげで 命中率を 下げられない。",0,1
pidgey,default,tangled-feet,ちどりあし,"こんらん状態の ときは 回避率が アップする。",0,2
pidgey,default,big-pecks,はとむね,"防御を 下げる 効果を 受けない。",1,3
pidgeotto,default,keen-eye,するどいめ,"鋭い 目の おかげで 命中率を 下げられない。",0,1
pidgeotto,default,tangled-feet,ちどりあし,"こんらん状態の ときは 回避率が アップする。",0,2
pidgeotto,default,big-pecks,はとむね,"防御を 下げる 効果を 受けない。",1,3
pidgeot,default,keen-eye,するどいめ,"鋭い 目の おかげで 命中率を 下げられない。",0,1
pidgeot,default,tangled-feet,ちどりあし,"こんらん状態の ときは 回避率が アップする。",0,2
pidgeot,default,big-pecks,はとむね,"防御を 下げる 効果を 受けない。",1,3
pidgeot,mega,no-guard,ノーガード,"ノーガード戦法に よって お互いの 出す 技が かならず 当たる ようになる。",0,1
rattata,default,run-away,にげあし,"野生の ポケモンから 必ず 逃げられる。",0,1
rattata,default,guts,こんじょう,"状態異常に なると 根性を だして 攻撃が 上がる。",0,2
rattata,default,hustle,はりきり,"自分の 攻撃が 高くなるが 命中率が 下がる。",1,3
rattata,alola,gluttony,くいしんぼう,"ＨＰが 少なくなったら 食べる きのみを ＨＰ 半分の 時に 食べてしまう。",0,1
rattata,alola,hustle,はりきり,"自分の 攻撃が 高くなるが 命中率が 下がる。",0,2
rattata,alola,thick-fat,あついしぼう,"厚い 脂肪で 守られているので ほのおタイプと こおりタイプの 技の ダメージを 半減させる。",1,3
raticate,default,run-away,にげあし,"野生の ポケモンから 必ず 逃げられる。",0,1
raticate,default,guts,こんじょう,"状態異常に なると 根性を だして 攻撃が 上がる。",0,2
raticate,default,hustle,はりきり,"自分の 攻撃が 高くなるが 命中率が 下がる。",1,3
raticate,alola,gluttony,くいしんぼう,"ＨＰが 少なくなったら 食べる きのみを ＨＰ 半分の 時に 食べてしまう。",0,1
raticate,alola,hustle,はりきり,"自分の 攻撃が 高くなるが 命中率が 下がる。",0,2
raticate,alola,thick-fat,あついしぼう,"厚い 脂肪で 守られているので ほのおタイプと こおりタイプの 技の ダメージを 半減させる。",1,3
spearow,default,keen-eye,するどいめ,"鋭い 目の おかげで 命中率を 下げられない。",0,1
spearow,default,sniper,スナイパー,"攻撃を 急所に 当てると 威力が さらに 上がる。",1,3
fearow,default,keen-eye,するどいめ,"鋭い 目の おかげで 命中率を 下げられない。",0,1
fearow,default,sniper,スナイパー,"攻撃を 急所に 当てると 威力が さらに 上がる。",1,3
ekans,default,intimidate,いかく,"登場 したとき 威嚇して 相手を 萎縮させ 相手の 攻撃を 下げて しまう。",0,1
ekans,default,shed-skin,だっぴ,"体の 皮を 脱ぎ捨てることで 状態異常を 治すことが ある。",0,2
ekans,default,unnerve,きんちょうかん,"相手を 緊張させて きのみを 食べられなく させる。",1,3
arbok,default,intimidate,いかく,"登場 したとき 威嚇して 相手を 萎縮させ 相手の 攻撃を 下げて しまう。",0,1
arbok,default,shed-skin,だっぴ,"体の 皮を 脱ぎ捨てることで 状態異常を 治すことが ある。",0,2
arbok,default,unnerve,きんちょうかん,"相手を 緊張させて きのみを 食べられなく させる。",1,3
pikachu,default,static,せいでんき,"静電気を 体に まとい 触った 相手を まひさせる ことがある。",0,1
pikachu,default,lightning-rod,ひらいしん,"でんきタイプの 技を 自分に 寄せつけ ダメージを 受けずに 特攻が 上がる。",1,3
raichu,default,static,せいでんき,"静電気を 体に まとい 触った 相手を まひさせる ことがある。",0,1
raichu,default,lightning-rod,ひらいしん,"でんきタイプの 技を 自分に 寄せつけ ダメージを 受けずに 特攻が 上がる。",1,3
raichu,alola,surge-surfer,サーフテール,"エレキフィールド のとき 素早さが ２倍に なる。",0,1
sandshrew,default,sand-veil,すながくれ,"砂あらしの とき 回避率が 上がる。",0,1
sandshrew,default,sand-rush,すなかき,"天気が すなあらし のとき 素早さが 上がる。",1,3
sandshrew,alola,snow-cloak,ゆきがくれ,"天気が あられのとき 回避率が 上がる。",0,1
sandshrew,alola,slush-rush,ゆきかき,"天気が あられ のとき 素早さが 上がる。",1,3
sandslash,default,sand-veil,すながくれ,"砂あらしの とき 回避率が 上がる。",0,1
sandslash,default,sand-rush,すなかき,"天気が すなあらし のとき 素早さが 上がる。",1,3
sandslash,alola,snow-cloak,ゆきがくれ,"天気が あられのとき 回避率が 上がる。",0,1
sandslash,alola,slush-rush,ゆきかき,"天気が あられ のとき 素早さが 上がる。",1,3
nidoran-f,default,poison-point,どくのトゲ,"自分に 触った 相手を どく状態に することがある。",0,1
nidoran-f,default,rivalry,とうそうしん,"性別が 同じだと 闘争心を 燃やして 強くなる。 性別が 違うと 弱くなる。",0,2
nidoran-f,default,hustle,はりきり,"自分の 攻撃が 高くなるが 命中率が 下がる。",1,3
nidorina,default,poison-point,どくのトゲ,"自分に 触った 相手を どく状態に することがある。",0,1
nidorina,default,rivalry,とうそうしん,"性別が 同じだと 闘争心を 燃やして 強くなる。 性別が 違うと 弱くなる。",0,2
nidorina,default,hustle,はりきり,"自分の 攻撃が 高くなるが 命中率が 下がる。",1,3
nidoqueen,default,poison-point,どくのトゲ,"自分に 触った 相手を どく状態に することがある。",0,1
nidoqueen,default,rivalry,とうそうしん,"性別が 同じだと 闘争心を 燃やして 強くなる。 性別が 違うと 弱くなる。",0,2
nidoqueen,default,sheer-force,ちからずく,"技の 追加効果は なくなるが そのぶん 高い 威力で 技を 出すことが できる。",1,3
nidoran-m,default,poison-point,どくのトゲ,"自分に 触った 相手を どく状態に することがある。",0,1
nidoran-m,default,rivalry,とうそうしん,"性別が 同じだと 闘争心を 燃やして 強くなる。 性別が 違うと 弱くなる。",0,2
nidoran-m,default,hustle,はりきり,"自分の 攻撃が 高くなるが 命中率が 下がる。",1,3
nidorino,default,poison-point,どくのトゲ,"自分に 触った 相手を どく状態に することがある。",0,1
nidorino,default,rivalry,とうそうしん,"性別が 同じだと 闘争心を 燃やして 強くなる。 性別が 違うと 弱くなる。",0,2
nidorino,default,hustle,はりきり,"自分の 攻撃が 高くなるが 命中率が 下がる。",1,3
nidoking,default,poison-point,どくのトゲ,"自分に 触った 相手を どく状態に することがある。",0,1
nidoking,default,rivalry,とうそうしん,"性別が 同じだと 闘争心を 燃やして 強くなる。 性別が 違うと 弱くなる。",0,2
nidoking,default,sheer-force,ちからずく,"技の 追加効果は なくなるが そのぶん 高い 威力で 技を 出すことが できる。",1,3
clefairy,default,cute-charm,メロメロボディ,"自分に 触った 相手を メロメロに することが ある。",0,1
clefairy,default,magic-guard,マジックガード,"攻撃 以外では ダメージを 受けない。",0,2
clefairy,default,friend-guard,フレンドガード,"味方の ダメージを 減らすことが できる。",1,3
clefable,default,cute-charm,メロメロボディ,"自分に 触った 相手を メロメロに することが ある。",0,1
clefable,default,magic-guard,マジックガード,"攻撃 以外では ダメージを 受けない。",0,2
clefable,default,unaware,てんねん,"相手の 能力の 変化を 無視して 攻撃が できる。",1,3
clefable,mega,magic-bounce,マジックミラー,"相手に だされた 変化技を 受けずに そのまま 返す ことが できる。",0,1
vulpix,default,flash-fire,もらいび,"ほのおタイプの 技を 受けると 炎を もらい 自分が 出す ほのおタイプの 技が 強くなる。",0,1
vulpix,default,drought,ひでり,"登場 したときに 天気を 晴れに する。",1,3
vulpix,alola,snow-cloak,ゆきがくれ,"天気が あられのとき 回避率が 上がる。",0,1
vulpix,alola,snow-warning,ゆきふらし,"登場 したときに 天気を あられに する。",1,3
ninetales,default,flash-fire,もらいび,"ほのおタイプの 技を 受けると 炎を もらい 自分が 出す ほのおタイプの 技が 強くなる。",0,1
ninetales,default,drought,ひでり,"登場 したときに 天気を 晴れに する。",1,3
ninetales,alola,snow-cloak,ゆきがくれ,"天気が あられのとき 回避率が 上がる。",0,1
ninetales,alola,snow-warning,ゆきふらし,"登場 したときに 天気を あられに する。",1,3
jigglypuff,default,cute-charm,メロメロボディ,"自分に 触った 相手を メロメロに することが ある。",0,1
jigglypuff,default,competitive,かちき,"能力を 下げられると 特攻が ぐーんと 上がる。",0,2
jigglypuff,default,friend-guard,フレンドガード,"味方の ダメージを 減らすことが できる。",1,3
wigglytuff,default,cute-charm,メロメロボディ,"自分に 触った 相手を メロメロに することが ある。",0,1
wigglytuff,default,competitive,かちき,"能力を 下げられると 特攻が ぐーんと 上がる。",0,2
wigglytuff,default,frisk,おみとおし,"登場 したとき 相手の 持ち物を 見通すことが できる。",1,3
zubat,default,inner-focus,せいしんりょく,"鍛えられた 精神に よって 相手の 攻撃に ひるまない。",0,1
zubat,default,infiltrator,すりぬけ,"相手の 壁や 身代わりを すりぬけて 攻撃 できる",1,3
golbat,default,inner-focus,せいしんりょく,"鍛えられた 精神に よって 相手の 攻撃に ひるまない。",0,1
golbat,default,infiltrator,すりぬけ,"相手の 壁や 身代わりを すりぬけて 攻撃 できる",1,3
oddish,default,chlorophyll,ようりょくそ,"天気が 晴れのとき 素早さが 上がる。",0,1
oddish,default,run-away,にげあし,"野生の ポケモンから 必ず 逃げられる。",1,3
gloom,default,chlorophyll,ようりょくそ,"天気が 晴れのとき 素早さが 上がる。",0,1
gloom,default,stench,あくしゅう,"臭い においを 放つことによって 攻撃した ときに 相手を ひるませることが ある。",1,3
vileplume,default,chlorophyll,ようりょくそ,"天気が 晴れのとき 素早さが 上がる。",0,1
vileplume,default,effect-spore,ほうし,"攻撃で 自分に 触れた 相手を どくや まひや ねむり状態に する ことがある。",1,3
paras,default,effect-spore,ほうし,"攻撃で 自分に 触れた 相手を どくや まひや ねむり状態に する ことがある。",0,1
paras,default,dry-skin,かんそうはだ,"天気が 雨の時や みずタイプの 技で ＨＰが 回復し はれの時や ほのおタイプの 技で 減ってしまう。",0,2
paras,default,damp,しめりけ,"あたりを 湿らせることに よって じばく などの 爆発する 技を だれも 使えなくなる。",1,3
parasect,default,effect-spore,ほうし,"攻撃で 自分に 触れた 相手を どくや まひや ねむり状態に する ことがある。",0,1
parasect,default,dry-skin,かんそうはだ,"天気が 雨の時や みずタイプの 技で ＨＰが 回復し はれの時や ほのおタイプの 技で 減ってしまう。",0,2
parasect,default,damp,しめりけ,"あたりを 湿らせることに よって じばく などの 爆発する 技を だれも 使えなくなる。",1,3
venonat,default,compound-eyes,ふくがん,"複眼を 持っているため 技の 命中率が 上がる。",0,1
venonat,default,tinted-lens,いろめがね,"効果が いまひとつの 技を 通常の 威力で 出すことが できる。",0,2
venonat,default,run-away,にげあし,"野生の ポケモンから 必ず 逃げられる。",1,3
venomoth,default,shield-dust,りんぷん,"りんぷんに 守られて 技の 追加効果を 受けなくなる。",0,1
venomoth,default,tinted-lens,いろめがね,"効果が いまひとつの 技を 通常の 威力で 出すことが できる。",0,2
venomoth,default,wonder-skin,ミラクルスキン,"変化技を 受けにくい 体に なっている。",1,3
diglett,default,sand-veil,すながくれ,"砂あらしの とき 回避率が 上がる。",0,1
diglett,default,arena-trap,ありじごく,"戦闘で 相手を 逃げられなくする。",0,2
diglett,default,sand-force,すなのちから,"天気が すなあらしの とき いわタイプと じめんタイプと はがねタイプの 威力が 上がる。",1,3
diglett,alola,sand-veil,すながくれ,"砂あらしの とき 回避率が 上がる。",0,1
diglett,alola,tangling-hair,カーリーヘアー,"攻撃で 自分に 触れた 相手の 素早さを 下げる。",0,2
diglett,alola,sand-force,すなのちから,"天気が すなあらしの とき いわタイプと じめんタイプと はがねタイプの 威力が 上がる。",1,3
dugtrio,default,sand-veil,すながくれ,"砂あらしの とき 回避率が 上がる。",0,1
dugtrio,default,arena-trap,ありじごく,"戦闘で 相手を 逃げられなくする。",0,2
dugtrio,default,sand-force,すなのちから,"天気が すなあらしの とき いわタイプと じめんタイプと はがねタイプの 威力が 上がる。",1,3
dugtrio,alola,sand-veil,すながくれ,"砂あらしの とき 回避率が 上がる。",0,1
dugtrio,alola,tangling-hair,カーリーヘアー,"攻撃で 自分に 触れた 相手の 素早さを 下げる。",0,2
dugtrio,alola,sand-force,すなのちから,"天気が すなあらしの とき いわタイプと じめんタイプと はがねタイプの 威力が 上がる。",1,3
meowth,default,pickup,ものひろい,"相手の 使った 道具を 拾ってくることが ある。 冒険中も 拾ってくる。",0,1
meowth,default,technician,テクニシャン,"威力が 低い 技の 威力を 高くして 攻撃できる。",0,2
meowth,default,unnerve,きんちょうかん,"相手を 緊張させて きのみを 食べられなく させる。",1,3
meowth,alola,pickup,ものひろい,"相手の 使った 道具を 拾ってくることが ある。 冒険中も 拾ってくる。",0,1
meowth,alola,technician,テクニシャン,"威力が 低い 技の 威力を 高くして 攻撃できる。",0,2
meowth,alola,rattled,びびり,"あくタイプと ゴーストタイプと むしタイプの 技を 受けると びびって 素早さが 上がる。",1,3
meowth,galar,pickup,ものひろい,"相手の 使った 道具を 拾ってくることが ある。 冒険中も 拾ってくる。",0,1
meowth,galar,tough-claws,かたいツメ,"相手に 接触する 技の 威力が 高くなる。",0,2
meowth,galar,unnerve,きんちょうかん,"相手を 緊張させて きのみを 食べられなく させる。",1,3
persian,default,limber,じゅうなん,"柔軟な 体によって まひ状態に ならない。",0,1
persian,default,technician,テクニシャン,"威力が 低い 技の 威力を 高くして 攻撃できる。",0,2
persian,default,unnerve,きんちょうかん,"相手を 緊張させて きのみを 食べられなく させる。",1,3
persian,alola,fur-coat,ファーコート,"相手から 受ける 物理技の ダメージが 半分に なる。",0,1
persian,alola,technician,テクニシャン,"威力が 低い 技の 威力を 高くして 攻撃できる。",0,2
persian,alola,rattled,びびり,"あくタイプと ゴーストタイプと むしタイプの 技を 受けると びびって 素早さが 上がる。",1,3
psyduck,default,damp,しめりけ,"あたりを 湿らせることに よって じばく などの 爆発する 技を だれも 使えなくなる。",0,1
psyduck,default,cloud-nine,ノーてんき,"あらゆる 天気の 影響が なくなって しまう。",0,2
psyduck,default,swift-swim,すいすい,"天気が 雨のとき 素早さが 上がる。",1,3
golduck,default,damp,しめりけ,"あたりを 湿らせることに よって じばく などの 爆発する 技を だれも 使えなくなる。",0,1
golduck,default,cloud-nine,ノーてんき,"あらゆる 天気の 影響が なくなって しまう。",0,2
golduck,default,swift-swim,すいすい,"天気が 雨のとき 素早さが 上がる。",1,3
mankey,default,vital-spirit,やるき,"やる気を だすことに よって ねむり状態に ならない。",0,1
mankey,default,anger-point,いかりのつぼ,"急所に 攻撃が 当たると 怒りくるって 攻撃力が 最大に なる。",0,2
mankey,default,defiant,まけんき,"能力を 下げられると 攻撃が ぐーんと 上がる。",1,3
primeape,default,vital-spirit,やるき,"やる気を だすことに よって ねむり状態に ならない。",0,1
primeape,default,anger-point,いかりのつぼ,"急所に 攻撃が 当たると 怒りくるって 攻撃力が 最大に なる。",0,2
primeape,default,defiant,まけんき,"能力を 下げられると 攻撃が ぐーんと 上がる。",1,3
growlithe,default,intimidate,いかく,"登場 したとき 威嚇して 相手を 萎縮させ 相手の 攻撃を 下げて しまう。",0,1
growlithe,default,flash-fire,もらいび,"ほのおタイプの 技を 受けると 炎を もらい 自分が 出す ほのおタイプの 技が 強くなる。",0,2
growlithe,default,justified,せいぎのこころ,"あくタイプの 攻撃を 受けると 正義感で 攻撃が 上がる。",1,3
growlithe,hisui,intimidate,いかく,"登場 したとき 威嚇して 相手を 萎縮させ 相手の 攻撃を 下げて しまう。",0,1
growlithe,hisui,flash-fire,もらいび,"ほのおタイプの 技を 受けると 炎を もらい 自分が 出す ほのおタイプの 技が 強くなる。",0,2
growlithe,hisui,rock-head,いしあたま,"反動を 受ける 技を 出しても ＨＰが 減らない。",1,3
arcanine,default,intimidate,いかく,"登場 したとき 威嚇して 相手を 萎縮させ 相手の 攻撃を 下げて しまう。",0,1
arcanine,default,flash-fire,もらいび,"ほのおタイプの 技を 受けると 炎を もらい 自分が 出す ほのおタイプの 技が 強くなる。",0,2
arcanine,default,justified,せいぎのこころ,"あくタイプの 攻撃を 受けると 正義感で 攻撃が 上がる。",1,3
arcanine,hisui,intimidate,いかく,"登場 したとき 威嚇して 相手を 萎縮させ 相手の 攻撃を 下げて しまう。",0,1
arcanine,hisui,flash-fire,もらいび,"ほのおタイプの 技を 受けると 炎を もらい 自分が 出す ほのおタイプの 技が 強くなる。",0,2
arcanine,hisui,rock-head,いしあたま,"反動を 受ける 技を 出しても ＨＰが 減らない。",1,3
poliwag,default,water-absorb,ちょすい,"みずタイプの 技を 受けると ダメージを 受けずに 回復する。",0,1
poliwag,default,damp,しめりけ,"あたりを 湿らせることに よって じばく などの 爆発する 技を だれも 使えなくなる。",0,2
poliwag,default,swift-swim,すいすい,"天気が 雨のとき 素早さが 上がる。",1,3
poliwhirl,default,water-absorb,ちょすい,"みずタイプの 技を 受けると ダメージを 受けずに 回復する。",0,1
poliwhirl,default,damp,しめりけ,"あたりを 湿らせることに よって じばく などの 爆発する 技を だれも 使えなくなる。",0,2
poliwhirl,default,swift-swim,すいすい,"天気が 雨のとき 素早さが 上がる。",1,3
poliwrath,default,water-absorb,ちょすい,"みずタイプの 技を 受けると ダメージを 受けずに 回復する。",0,1
poliwrath,default,damp,しめりけ,"あたりを 湿らせることに よって じばく などの 爆発する 技を だれも 使えなくなる。",0,2
poliwrath,default,swift-swim,すいすい,"天気が 雨のとき 素早さが 上がる。",1,3
abra,default,synchronize,シンクロ,"自分が なってしまった どくや まひや やけどを 相手に うつす。",0,1
abra,default,inner-focus,せいしんりょく,"鍛えられた 精神に よって 相手の 攻撃に ひるまない。",0,2
abra,default,magic-guard,マジックガード,"攻撃 以外では ダメージを 受けない。",1,3
kadabra,default,synchronize,シンクロ,"自分が なってしまった どくや まひや やけどを 相手に うつす。",0,1
kadabra,default,inner-focus,せいしんりょく,"鍛えられた 精神に よって 相手の 攻撃に ひるまない。",0,2
kadabra,default,magic-guard,マジックガード,"攻撃 以外では ダメージを 受けない。",1,3
alakazam,default,synchronize,シンクロ,"自分が なってしまった どくや まひや やけどを 相手に うつす。",0,1
alakazam,default,inner-focus,せいしんりょく,"鍛えられた 精神に よって 相手の 攻撃に ひるまない。",0,2
alakazam,default,magic-guard,マジックガード,"攻撃 以外では ダメージを 受けない。",1,3
alakazam,mega,trace,トレース,"登場 したとき 相手の 特性を トレースして 同じ 特性に なる。",0,1
machop,default,guts,こんじょう,"状態異常に なると 根性を だして 攻撃が 上がる。",0,1
machop,default,no-guard,ノーガード,"ノーガード戦法に よって お互いの 出す 技が かならず 当たる ようになる。",0,2
machop,default,steadfast,ふくつのこころ,"ひるむ たびに 不屈の心を 燃やして 素早さが 上がる。",1,3
machoke,default,guts,こんじょう,"状態異常に なると 根性を だして 攻撃が 上がる。",0,1
machoke,default,no-guard,ノーガード,"ノーガード戦法に よって お互いの 出す 技が かならず 当たる ようになる。",0,2
machoke,default,steadfast,ふくつのこころ,"ひるむ たびに 不屈の心を 燃やして 素早さが 上がる。",1,3
machamp,default,guts,こんじょう,"状態異常に なると 根性を だして 攻撃が 上がる。",0,1
machamp,default,no-guard,ノーガード,"ノーガード戦法に よって お互いの 出す 技が かならず 当たる ようになる。",0,2
machamp,default,steadfast,ふくつのこころ,"ひるむ たびに 不屈の心を 燃やして 素早さが 上がる。",1,3
bellsprout,default,chlorophyll,ようりょくそ,"天気が 晴れのとき 素早さが 上がる。",0,1
bellsprout,default,gluttony,くいしんぼう,"ＨＰが 少なくなったら 食べる きのみを ＨＰ 半分の 時に 食べてしまう。",1,3
weepinbell,default,chlorophyll,ようりょくそ,"天気が 晴れのとき 素早さが 上がる。",0,1
weepinbell,default,gluttony,くいしんぼう,"ＨＰが 少なくなったら 食べる きのみを ＨＰ 半分の 時に 食べてしまう。",1,3
victreebel,default,chlorophyll,ようりょくそ,"天気が 晴れのとき 素早さが 上がる。",0,1
victreebel,default,gluttony,くいしんぼう,"ＨＰが 少なくなったら 食べる きのみを ＨＰ 半分の 時に 食べてしまう。",1,3
victreebel,mega,innards-out,とびだすなかみ,"相手に 倒されたとき ＨＰの 残りの ぶんだけ 相手に ダメージを あたえる。",0,1
tentacool,default,clear-body,クリアボディ,"相手の 技や 特性で 能力を 下げられない。",0,1
tentacool,default,liquid-ooze,ヘドロえき,"ヘドロ液を 吸い取った 相手は 強烈な 悪臭で ダメージを 受けて ＨＰを 減らす。",0,2
tentacool,default,rain-dish,あめうけざら,"天気が 雨のとき 少しずつ ＨＰを 回復する。",1,3
tentacruel,default,clear-body,クリアボディ,"相手の 技や 特性で 能力を 下げられない。",0,1
tentacruel,default,liquid-ooze,ヘドロえき,"ヘドロ液を 吸い取った 相手は 強烈な 悪臭で ダメージを 受けて ＨＰを 減らす。",0,2
tentacruel,default,rain-dish,あめうけざら,"天気が 雨のとき 少しずつ ＨＰを 回復する。",1,3
geodude,default,rock-head,いしあたま,"反動を 受ける 技を 出しても ＨＰが 減らない。",0,1
geodude,default,sturdy,がんじょう,"相手の 技を 受けても 一撃で 倒されることが ない。 一撃必殺技も 効かない。",0,2
geodude,default,sand-veil,すながくれ,"砂あらしの とき 回避率が 上がる。",1,3
geodude,alola,magnet-pull,じりょく,"はがねタイプの ポケモンを 磁力で 引きつけて 逃げられなくする。",0,1
geodude,alola,sturdy,がんじょう,"相手の 技を 受けても 一撃で 倒されることが ない。 一撃必殺技も 効かない。",0,2
geodude,alola,galvanize,エレキスキン,"ノーマルタイプの 技が でんきタイプになる。 威力が 少し 上がる。",1,3
graveler,default,rock-head,いしあたま,"反動を 受ける 技を 出しても ＨＰが 減らない。",0,1
graveler,default,sturdy,がんじょう,"相手の 技を 受けても 一撃で 倒されることが ない。 一撃必殺技も 効かない。",0,2
graveler,default,sand-veil,すながくれ,"砂あらしの とき 回避率が 上がる。",1,3
graveler,alola,magnet-pull,じりょく,"はがねタイプの ポケモンを 磁力で 引きつけて 逃げられなくする。",0,1
graveler,alola,sturdy,がんじょう,"相手の 技を 受けても 一撃で 倒されることが ない。 一撃必殺技も 効かない。",0,2
graveler,alola,galvanize,エレキスキン,"ノーマルタイプの 技が でんきタイプになる。 威力が 少し 上がる。",1,3
golem,default,rock-head,いしあたま,"反動を 受ける 技を 出しても ＨＰが 減らない。",0,1
golem,default,sturdy,がんじょう,"相手の 技を 受けても 一撃で 倒されることが ない。 一撃必殺技も 効かない。",0,2
golem,default,sand-veil,すながくれ,"砂あらしの とき 回避率が 上がる。",1,3
golem,alola,magnet-pull,じりょく,"はがねタイプの ポケモンを 磁力で 引きつけて 逃げられなくする。",0,1
golem,alola,sturdy,がんじょう,"相手の 技を 受けても 一撃で 倒されることが ない。 一撃必殺技も 効かない。",0,2
golem,alola,galvanize,エレキスキン,"ノーマルタイプの 技が でんきタイプになる。 威力が 少し 上がる。",1,3
ponyta,default,run-away,にげあし,"野生の ポケモンから 必ず 逃げられる。",0,1
ponyta,default,flash-fire,もらいび,"ほのおタイプの 技を 受けると 炎を もらい 自分が 出す ほのおタイプの 技が 強くなる。",0,2
ponyta,default,flame-body,ほのおのからだ,"自分に 触った 相手を やけど状態に する ことがある。",1,3
ponyta,galar,run-away,にげあし,"野生の ポケモンから 必ず 逃げられる。",0,1
ponyta,galar,pastel-veil,パステルベール,"自分も 味方も どくの 状態異常を 受けなくなる。",0,2
ponyta,galar,anticipation,きけんよち,"相手の 持つ 危険な 技を 察知する ことができる。",1,3
rapidash,default,run-away,にげあし,"野生の ポケモンから 必ず 逃げられる。",0,1
rapidash,default,flash-fire,もらいび,"ほのおタイプの 技を 受けると 炎を もらい 自分が 出す ほのおタイプの 技が 強くなる。",0,2
rapidash,default,flame-body,ほのおのからだ,"自分に 触った 相手を やけど状態に する ことがある。",1,3
rapidash,galar,run-away,にげあし,"野生の ポケモンから 必ず 逃げられる。",0,1
rapidash,galar,pastel-veil,パステルベール,"自分も 味方も どくの 状態異常を 受けなくなる。",0,2
rapidash,galar,anticipation,きけんよち,"相手の 持つ 危険な 技を 察知する ことができる。",1,3
slowpoke,default,oblivious,どんかん,"鈍感なので メロメロや ちょうはつ状態に ならない。",0,1
slowpoke,default,own-tempo,マイペース,"マイペースなので こんらん状態に ならない。",0,2
slowpoke,default,regenerator,さいせいりょく,"手持ちに 引っ込むと ＨＰが 少し 回復する。",1,3
slowpoke,galar,gluttony,くいしんぼう,"ＨＰが 少なくなったら 食べる きのみを ＨＰ 半分の 時に 食べてしまう。",0,1
