national_dex_number,form_order,key,form_key,name,kana,type1,type2,h,a,b,c,d,s,image_url
25,0,pikachu,default,ピカチュウ,ぴかちゅう,でんき,,35,55,40,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
26,0,raichu,default,ライチュウ,らいちゅう,でんき,,60,90,55,90,80,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
26,1,raichu,alola,ライチュウ（アローラのすがた）,らいちゅう（あろーらのすがた）,でんき,エスパー,60,85,50,95,85,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10100.png
26,2,raichu,mega-x,ライチュウ（メガシンカX）,らいちゅう（めがしんかX）,でんき,,60,135,95,90,95,110,
26,3,raichu,mega-y,ライチュウ（メガシンカY）,らいちゅう（めがしんかY）,でんき,,60,100,55,160,80,130,
27,0,sandshrew,default,サンド,さんど,じめん,,50,75,85,20,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
27,1,sandshrew,alola,サンド（アローラのすがた）,さんど（あろーらのすがた）,こおり,はがね,50,75,90,10,35,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10101.png
28,0,sandslash,default,サンドパン,さんどぱん,じめん,,75,100,110,45,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
28,1,sandslash,alola,サンドパン（アローラのすがた）,さんどぱん（あろーらのすがた）,こおり,はがね,75,100,120,25,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10102.png
29,0,nidoran-f,default,ニドラン♀,にどらん♀,どく,,55,47,52,40,40,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
30,0,nidorina,default,ニドリーナ,にどりーな,どく,,70,62,67,55,55,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
31,0,nidoqueen,default,ニドクイン,にどくいん,どく,じめん,90,92,87,75,85,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
32,0,nidoran-m,default,ニドラン♂,にどらん♂,どく,,46,57,40,40,40,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
33,0,nidorino,default,ニドリーノ,にどりーの,どく,,61,72,57,55,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
34,0,nidoking,default,ニドキング,にどきんぐ,どく,じめん,81,102,77,85,75,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
35,0,clefairy,default,ピッピ,ぴっぴ,フェアリー,,70,45,48,60,65,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
36,0,clefable,default,ピクシー,ぴくしー,フェアリー,,95,70,73,95,90,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
36,1,clefable,mega,ピクシー（メガシンカ）,ぴくしー（めがしんか）,フェアリー,ひこう,95,80,93,135,110,70,
37,0,vulpix,default,ロコン,ろこん,ほのお,,38,41,40,50,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
37,1,vulpix,alola,ロコン（アローラのすがた）,ろこん（あろーらのすがた）,こおり,,38,41,40,50,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10103.png
38,0,ninetales,default,キュウコン,きゅうこん,ほのお,,73,76,75,81,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
38,1,ninetales,alola,キュウコン（アローラのすがた）,きゅうこん（あろーらのすがた）,こおり,フェアリー,73,67,75,81,100,109,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10104.png
39,0,jigglypuff,default,プリン,ぷりん,ノーマル,フェアリー,115,45,20,45,25,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
40,0,wigglytuff,default,プクリン,ぷくりん,ノーマル,フェアリー,140,70,45,85,50,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
41,0,zubat,default,ズバット,ずばっと,どく,ひこう,40,45,35,30,40,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
42,0,golbat,default,ゴルバット,ごるばっと,どく,ひこう,75,80,70,65,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
43,0,oddish,default,ナゾノクサ,なぞのくさ,くさ,どく,45,50,55,75,65,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
44,0,gloom,default,クサイハナ,くさいはな,くさ,どく,60,65,70,85,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
45,0,vileplume,default,ラフレシア,らふれしあ,くさ,どく,75,80,85,110,90,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
46,0,paras,default,パラス,ぱらす,むし,くさ,35,70,55,45,55,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
47,0,parasect,default,パラセクト,ぱらせくと,むし,くさ,60,95,80,60,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
48,0,venonat,default,コンパン,こんぱん,むし,どく,60,55,50,40,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
49,0,venomoth,default,モルフォン,もるふぉん,むし,どく,70,65,60,90,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
50,0,diglett,default,ディグダ,でぃぐだ,じめん,,10,55,25,35,45,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
50,1,diglett,alola,ディグダ（アローラのすがた）,でぃぐだ（あろーらのすがた）,じめん,はがね,10,55,30,35,45,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10105.png
51,0,dugtrio,default,ダグトリオ,だぐとりお,じめん,,35,100,50,50,70,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
51,1,dugtrio,alola,ダグトリオ（アローラのすがた）,だぐとりお（あろーらのすがた）,じめん,はがね,35,100,60,50,70,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10106.png
52,0,meowth,default,ニャース,にゃーす,ノーマル,,40,45,35,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
52,1,meowth,alola,ニャース（アローラのすがた）,にゃーす（あろーらのすがた）,あく,,40,35,35,50,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10107.png
52,2,meowth,galar,ニャース（ガラルのすがた）,にゃーす（がらるのすがた）,はがね,,50,65,55,40,40,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10161.png
53,0,persian,default,ペルシアン,ぺるしあん,ノーマル,,65,70,60,65,65,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
53,1,persian,alola,ペルシアン（アローラのすがた）,ぺるしあん（あろーらのすがた）,あく,,65,60,60,75,65,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10108.png
54,0,psyduck,default,コダック,こだっく,みず,,50,52,48,65,50,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
55,0,golduck,default,ゴルダック,ごるだっく,みず,,80,82,78,95,80,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
56,0,mankey,default,マンキー,まんきー,かくとう,,40,80,35,35,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
57,0,primeape,default,オコリザル,おこりざる,かくとう,,65,105,60,60,70,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
58,0,growlithe,default,ガーディ,がーでぃ,ほのお,,55,70,45,70,50,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
58,1,growlithe,hisui,ガーディ（ヒスイのすがた）,がーでぃ（ひすいのすがた）,ほのお,いわ,60,75,45,65,50,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10229.png
59,0,arcanine,default,ウインディ,ういんでぃ,ほのお,,90,110,80,100,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
59,1,arcanine,hisui,ウインディ（ヒスイのすがた）,ういんでぃ（ひすいのすがた）,ほのお,いわ,95,115,80,95,80,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10230.png
60,0,poliwag,default,ニョロモ,にょろも,みず,,40,50,40,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
61,0,poliwhirl,default,ニョロゾ,にょろぞ,みず,,65,65,65,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
62,0,poliwrath,default,ニョロボン,にょろぼん,みず,かくとう,90,95,95,70,90,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
63,0,abra,default,ケーシィ,けーしぃ,エスパー,,25,20,15,105,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
64,0,kadabra,default,ユンゲラー,ゆんげらー,エスパー,,40,35,30,120,70,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
65,0,alakazam,default,フーディン,ふーでぃん,エスパー,,55,50,45,135,95,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
65,1,alakazam,mega,フーディン（メガシンカ）,ふーでぃん（めがしんか）,エスパー,,55,50,65,175,105,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10037.png
66,0,machop,default,ワンリキー,わんりきー,かくとう,,70,80,50,35,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
67,0,machoke,default,ゴーリキー,ごーりきー,かくとう,,80,100,70,50,60,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
68,0,machamp,default,カイリキー,かいりきー,かくとう,,90,130,80,65,85,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
69,0,bellsprout,default,マダツボミ,まだつぼみ,くさ,どく,50,75,35,70,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
70,0,weepinbell,default,ウツドン,うつどん,くさ,どく,65,90,50,85,45,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
71,0,victreebel,default,ウツボット,うつぼっと,くさ,どく,80,105,65,100,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
71,1,victreebel,mega,ウツボット（メガシンカ）,うつぼっと（めがしんか）,くさ,どく,80,125,85,135,95,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10279.png
72,0,tentacool,default,メノクラゲ,めのくらげ,みず,どく,40,40,35,50,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
73,0,tentacruel,default,ドククラゲ,どくくらげ,みず,どく,80,70,65,80,120,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
74,0,geodude,default,イシツブテ,いしつぶて,いわ,じめん,40,80,100,30,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
74,1,geodude,alola,イシツブテ（アローラのすがた）,いしつぶて（あろーらのすがた）,いわ,でんき,40,80,100,30,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10109.png
75,0,graveler,default,ゴローン,ごろーん,いわ,じめん,55,95,115,45,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
75,1,graveler,alola,ゴローン（アローラのすがた）,ごろーん（あろーらのすがた）,いわ,でんき,55,95,115,45,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10110.png
76,0,golem,default,ゴローニャ,ごろーにゃ,いわ,じめん,80,120,130,55,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
76,1,golem,alola,ゴローニャ（アローラのすがた）,ごろーにゃ（あろーらのすがた）,いわ,でんき,80,120,130,55,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10111.png
77,0,ponyta,default,ポニータ,ぽにーた,ほのお,,50,85,55,65,65,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
77,1,ponyta,galar,ポニータ（ガラルのすがた）,ぽにーた（がらるのすがた）,エスパー,,50,85,55,65,65,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10162.png
78,0,rapidash,default,ギャロップ,ぎゃろっぷ,ほのお,,65,100,70,80,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
78,1,rapidash,galar,ギャロップ（ガラルのすがた）,ぎゃろっぷ（がらるのすがた）,エスパー,フェアリー,65,100,70,80,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10163.png
79,0,slowpoke,default,ヤドン,やどん,みず,エスパー,90,65,65,40,40,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
79,1,slowpoke,galar,ヤドン（ガラルのすがた）,やどん（がらるのすがた）,エスパー,,90,65,65,40,40,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10164.png
80,0,slowbro,default,ヤドラン,やどらん,みず,エスパー,95,75,110,100,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
80,1,slowbro,mega,ヤドラン（メガシンカ）,やどらん（めがしんか）,みず,エスパー,95,75,180,130,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10071.png
80,2,slowbro,galar,ヤドラン（ガラルのすがた）,やどらん（がらるのすがた）,どく,エスパー,95,100,95,100,70,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10165.png
81,0,magnemite,default,コイル,こいる,でんき,はがね,25,35,70,95,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
82,0,magneton,default,レアコイル,れあこいる,でんき,はがね,50,60,95,120,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
83,0,farfetchd,default,カモネギ,かもねぎ,ノーマル,ひこう,52,90,55,58,62,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
83,1,farfetchd,galar,カモネギ（ガラルのすがた）,かもねぎ（がらるのすがた）,かくとう,,52,95,55,58,62,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10166.png
84,0,doduo,default,ドードー,どーどー,ノーマル,ひこう,35,85,45,35,35,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
85,0,dodrio,default,ドードリオ,どーどりお,ノーマル,ひこう,60,110,70,60,60,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
86,0,seel,default,パウワウ,ぱうわう,みず,,65,45,55,45,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
87,0,dewgong,default,ジュゴン,じゅごん,みず,こおり,90,70,80,70,95,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
88,0,grimer,default,ベトベター,べとべたー,どく,,80,80,50,40,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
88,1,grimer,alola,ベトベター（アローラのすがた）,べとべたー（あろーらのすがた）,どく,あく,80,80,50,40,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10112.png
89,0,muk,default,ベトベトン,べとべとん,どく,,105,105,75,65,100,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
89,1,muk,alola,ベトベトン（アローラのすがた）,べとべとん（あろーらのすがた）,どく,あく,105,105,75,65,100,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10113.png
90,0,shellder,default,シェルダー,しぇるだー,みず,,30,65,100,45,25,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
91,0,cloyster,default,パルシェン,ぱるしぇん,みず,こおり,50,95,180,85,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
92,0,gastly,default,ゴース,ごーす,ゴースト,どく,30,35,30,100,35,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
93,0,haunter,default,ゴースト,ごーすと,ゴースト,どく,45,50,45,115,55,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
94,0,gengar,default,ゲンガー,げんがー,ゴースト,どく,60,65,60,130,75,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
94,1,gengar,mega,ゲンガー（メガシンカ）,げんがー（めがしんか）,ゴースト,どく,60,65,80,170,95,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10038.png
95,0,onix,default,イワーク,いわーく,いわ,じめん,35,45,160,30,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
96,0,drowzee,default,スリープ,すりーぷ,エスパー,,60,48,45,43,90,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
97,0,hypno,default,スリーパー,すりーぱー,エスパー,,85,73,70,73,115,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
98,0,krabby,default,クラブ,くらぶ,みず,,30,105,90,25,25,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
99,0,kingler,default,キングラー,きんぐらー,みず,,55,130,115,50,50,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
100,0,voltorb,default,ビリリダマ,びりりだま,でんき,,40,30,50,55,55,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
100,1,voltorb,hisui,ビリリダマ（ヒスイのすがた）,びりりだま（ひすいのすがた）,でんき,くさ,40,30,50,55,55,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10231.png
101,0,electrode,default,マルマイン,まるまいん,でんき,,60,50,70,80,80,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
101,1,electrode,hisui,マルマイン（ヒスイのすがた）,まるまいん（ひすいのすがた）,でんき,くさ,60,50,70,80,80,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10232.png
102,0,exeggcute,default,タマタマ,たまたま,くさ,エスパー,60,40,80,60,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
103,0,exeggutor,default,ナッシー,なっしー,くさ,エスパー,95,95,85,125,75,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
103,1,exeggutor,alola,ナッシー（アローラのすがた）,なっしー（あろーらのすがた）,くさ,ドラゴン,95,105,85,125,75,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10114.png
104,0,cubone,default,カラカラ,からから,じめん,,50,50,95,40,50,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
105,0,marowak,default,ガラガラ,がらがら,じめん,,60,80,110,50,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
105,1,marowak,alola,ガラガラ（アローラのすがた）,がらがら（あろーらのすがた）,ほのお,ゴースト,60,80,110,50,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10115.png
106,0,hitmonlee,default,サワムラー,さわむらー,かくとう,,50,120,53,35,110,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
107,0,hitmonchan,default,エビワラー,えびわらー,かくとう,,50,105,79,35,110,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
108,0,lickitung,default,ベロリンガ,べろりんが,ノーマル,,90,55,75,60,75,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
109,0,koffing,default,ドガース,どがーす,どく,,40,65,95,60,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
110,0,weezing,default,マタドガス,またどがす,どく,,65,90,120,85,70,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
110,1,weezing,galar,マタドガス（ガラルのすがた）,またどがす（がらるのすがた）,どく,フェアリー,65,90,120,85,70,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10167.png
111,0,rhyhorn,default,サイホーン,さいほーん,じめん,いわ,80,85,95,30,30,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
112,0,rhydon,default,サイドン,さいどん,じめん,いわ,105,130,120,45,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
113,0,chansey,default,ラッキー,らっきー,ノーマル,,250,5,5,35,105,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
114,0,tangela,default,モンジャラ,もんじゃら,くさ,,65,55,115,100,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png
115,0,kangaskhan,default,ガルーラ,がるーら,ノーマル,,105,95,80,40,80,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png
115,1,kangaskhan,mega,ガルーラ（メガシンカ）,がるーら（めがしんか）,ノーマル,,105,125,100,60,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10039.png
116,0,horsea,default,タッツー,たっつー,みず,,30,40,70,70,25,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png
117,0,seadra,default,シードラ,しーどら,みず,,55,65,95,95,45,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png
